,"Aaron
,"Lycia
(ec13)",,"Lydda
(ec2e)",,"Lydia
(eb50)",,"Lysanius
(ec40)",
,"Lysias
(ec37)",,"Lystra
(eb44)",,"Maacah
(efda)",,"Maakah_woman
(e2d8)",
,"Maath
(ec4b)",,"Macedonia
(ec0d)",,"Machir_man
(e2d1)",,"Machir_woman
(e2d2)",
,"Machpelah
(eee4)",,"Madai
(edff)",,"Magadan
(ea30)",,"Magdiel
(effc)",
,"magician
(ec8a)",,"Magog_land
(ecf9)",,"Magog_man
(eea1)",,"Mahalaleel
(ec68)",
,"Mahalath
(eea2)",,"Mahanaim
(efdb)",,"make
(e076)",,"Malchus
(ebb7)",
,"Malkiel
(efcf)",,"Malta
(ec19)",,"Mamre
(eea3)",,"man
(e000)",
,"Manaen
(eb40)",,"Manahath
(e1c3)",,"Manasseh
(ea63)",,"manna
(eba9)",
,"many
(e198)",,"Mark
(e371)",,"market_place
(e02e)",,"marrage
(e010)",
,"Martha
(ec69)",,"Mary
(e354)",,"Mary_Magdalene
(e355)",,"Masrekah
(effd)",
,"Massa
(eee5)",,"Matred
(effe)",,"Mattatha
(ec9c)",,"Matthan
(ea71)",
,"Matthat
(ed12)",,"Matthathia
(ec9d)",,"Matthew
(eb04)",,"mature
(e236)",
,"me
(e166)",,"Me_Zahab
(efff)",,"meaning
(ecfa)",,"measure
(e305)",
,"Medan
(eee7)",,"Media
(eb70)",,"Megiddo
(ecfb)",,"Mehetabel
(eff0)",
,"Mehujael
(eea4)",,"Melchi
(ec45)",,"Melchizedek
(ed05)",,"Melea
(ec6a)",
,"member
(e174)",,"Menna
(ec6b)",,"Merari
(efdc)",,"mercy
(e01d)",
,"Mesha
(eea5)",,"Meshack
(eea6)",,"Mesopotamia
(eb72)",,"messenger
(e136)",
,"metal
(eb28)",,"Methuselah
(ec6c)",,"Methushael
(eea7)",,"Mibsam
(eee6)",
,"Mibzar
(e1c5)",,"Michael
(ece1)",,"Midian_land
(eb0f)",,"Midian_man
(e1eb)",
,"Miletus
(eb23)",,"milk
(eca3)",,"Milkah
(eee8)",,"million
(ecd9)",
,"mind
(e06c)",,"miracle
(e095)",,"Miriam
(e385)",,"mirror
(ebe6)",
,"Mishma
(e1c6)",,"Mitylene
(eb21)",,"Mizpah
(e2cf)",,"Mizraim
(eea8)",
,"Mizzah
(e1c7)",,"Mnason
(eb26)",,"Moab
(eea9)",,"mock
(ea12)",
,"Molech
(ec26)",,"money
(e029)",,"month
(e34c)",,"moon
(e272)",
