0 csv2kmn.py
1 PT.csv
2 76
3 PT
['\ueb81', 'eb81', 'Cornelius', 'Cornélio']
['\ueb83', 'eb83', 'corner', 'esquina']
['\ue21c', 'e21c', 'cornerstone', 'A_pedra_angular']
['\ue09a', 'e09a', 'correct', 'corrigir']
[' \uec59 ', 'ec59', 'Cosam', 'Cosã']
['\ueb5f', 'eb5f', 'couch', 'sofá']
['\ue0f7', 'e0f7', 'council', 'concílio']
['\uebc0', 'ebc0', 'counted', 'contado']
['\ue0a2', 'e0a2', 'country', 'país']
['\ue157', 'e157', 'countrymen', 'compatriotas']
['\ueb96', 'eb96', 'countryside', 'região_rural']
['\ue196', 'e196', 'courage', 'coragem']
['\ue0f6', 'e0f6', 'courtyard', 'pátio']
['\ue21d', 'e21d', 'covenant', 'pacto']
['\ue39a', 'e39a', 'cover', 'cobrir']
['\ue022', 'e022', 'covet', 'cobiçar']
['\ueb36', 'eb36', 'cow', 'vaca']
['\ue076', 'e076', 'create', 'criar']
['\uebc3', 'ebc3', 'creation', 'criação']
['\uec22', 'ec22', 'Creator', 'Criador']
['\uebc0', 'ebc0', 'credit', 'crédito']
['\uecaf', 'ecaf', 'Crescan', 'Crescan']
['\uec8d', 'ec8d', 'Crete', 'Creta']
['\ueb3a', 'eb3a', 'Crispus', 'Crispo']
['\ue055', 'e055', 'criticize', 'criticar']
['\ueb39', 'eb39', 'crooked', 'torcido']
['\ue038', 'e038', 'cross', 'cruz']
['\ue128', 'e128', 'crowd', 'multidão']
['\ueda4', 'eda4', 'crown', 'coroa']
['\ue03c', 'e03c', 'crucify', 'crucificar']
['\ue146', 'e146', 'crush', 'esmagar']
['\ue20c', 'e20c', 'cry', 'chorar']
['\ue274', 'e274', 'cup', 'copo']
['\ue05a', 'e05a', 'curse', 'maldição']
['\ue254', 'e254', 'curtain', 'cortina']
['\uec32', 'ec32', 'Cush', 'Cuxe']
['\ue26c', 'e26c', 'cushion', 'amortecer']
['\ueb10', 'eb10', 'custom', 'costume']
['\ue24e', 'e24e', 'cut', 'cortar']
['\uebe3', 'ebe3', 'cymbal', 'címbalo']
['\ueb88', 'eb88', 'Cyprus', 'Chipre']
['\ueb59', 'eb59', 'Cyrene', 'Cirene']
['\ue344', 'e344', 'Dalmanutha', 'Dalmanuta']
['\uecb1', 'ecb1', 'Dalmatia', 'Dalmatía']
['\ueb37', 'eb37', 'Damaris', 'Dâmaris']
['\uec31', 'ec31', 'Damascus', 'Damasco']
['\ue259', 'e259', 'dance', 'danzar']
['\uea78', 'ea78', 'Daniel', 'Daniel']
['\uea17', 'ea17', 'dark', 'escuro']
['\ue00c', 'e00c', 'daughter', 'filha']
['\ue00d', 'e00d', 'daughters', 'filhas']
['\ue35e', 'e35e', 'David', 'Davi']
['\ue15f', 'e15f', 'day', 'dia']
['\ue12d', 'e120', 'deacon', 'diácono']
['\ue181', 'e181', 'dead', 'morto']
['\ue191', 'e191', 'deaf', 'surdo']
['\ue181', 'e181', 'death', 'morte']
['\ue33e', 'e33e', 'Decapolis', 'Decápolis']
['\ue17f', 'e17f', 'deceive', 'enganar']
['\ue152', 'e152', 'deceiver', 'enganador']
['\ue17f', 'e17f', 'deception', 'deceição']
['\ue321', 'e321', 'deep', 'profundo']
['\uecb2', 'ecb2', 'Demes', 'Demes']
