,Aaron,eb0d,Arão
,milk,eca3,leite
,million,ecd9,Milhão
,mind,e06c,mente
,miracle,e095,milagre
,Miriam,e385,Miriã
,mirror,ebe6,espelho
,Mitylene,eb21,Mitilene
,Mnason,eb26,Mnasom
,mock,ea12,zombar
,Molech,ec26,Moloque
,money,e029,dinheiro
,month,e34c,mês
,moon,e272,lua
,more,e199,mais_tarde
,morning,e163,manhã
,Moses,e35b,Moisés
,most,e229,o_mais
,mother,e00b,mãe
,Mount_of_Olives,e351,Monte_das_Oliveiras
,Mount_Sinai,eb5c,Monte_Sinai
,Mount_Zion,ecf5,Monte_Sião
,mountain,e306,montanha
,move,e32f,mover
,murderer,ea10,assassino
,mustard,e039,mostarda
,mute,e050,mudo
,Myra,ec28,Mirra
,myrrh,e245,mirra
,Mysia,eb4a,Mísia
,mystery,e18b,mistério
,Naaman,ec6d,Naamã
,Naggai,ec4a,Nagai
,Nahor,ec6e,Naor
,Nahshon,ea52,Naassom
,Nahum,ec48,Naum
,nail,ebaa,unha
,Nain,ea48,Naim
,name,e04f,nome
,Naphtali,ea40,Naftali
,Narcius,ebc9,Narcius
,Nathan,ec6f,Natã
,Nazareth,e34e,Nazaré
,neck,e0d3,pescoço
,needle,e078,agulha
,neighbor,e173,vizinho
,Neopolis,eb4e,Neopolis
,Nereus,ebca,Nereu
,Neri,ec70,Neri
,net,e307,rede
,new,e308,novo
,Nicanor,eb55,Nicanor
,Nicodemus,ebab,Nicodemos
,Nicolaus,eb56,Nicolaus
,Nicopolis,ed08,Nicópolis
,nine,e294,nove
,Nineveh,e0c6,Nínive
,no,e17c,não
,Noah,ea43,Noé
,noise,ebe9,ruído
,north,ea74,norte
,nose,e309,nariz
,number,e0b7,número
,Nympha,ecea,Ninfa
,Obed,ea56,Obede
,obedience,e04e,obediência
,ocean,e14d,oceano
,offering,e03a,oferta
,oil,e030,óleo
,old,e189,velho
,olive,eda1,oliva
,Olympus,ebcb,Olimpo
,on,e113,em
,one,e28c,um
,Onesimus,ecb8,Onésimo
,open,e18a,aberto
,or,e106,ou
,other,e184,outro
,out,e241,for_a
,owe,ea49,dever
,own,eced,próprio
,ox,ea85,boi
,Pamphylia,eb6e,Panfília
,Paphos,eb9f,Pafos
,paralyze,e131,paralisar
,Parmenas,eb57,Pármenas
,part,e29b,parte
,Parthia,eb0a,Partos
,pass,e10b,passar
,passion,ebac,paixão
,Passover,e20d,Páscoa
,past,e16d,passado
,pastor,ecc3,pastor
,Patara,ec23,Pátara
,path,e23c,caminho
,Patmos,ebf4,Patmos
,Patrobas,ebcc,Pátrobas
,Paul,e377,Paulo
,pavement,ebad,calçada
,peace,e123,paz
,Peleg,ec71,Pelegue
,pen,e29c,caneta
,pentecost,ec81,pentecostes
,people,e127,pessoas
,perceive,e06a,perceber
,Perez,ea4c,Perez
,Perga,eb47,Perge
,Pergamum,ebf6,Pérgamo
,persecute,e03e,perseguir
,Persis,ebce,Pérside
,person,e11f,pessoa
,Phanuel,ec3c,Fanuel
,Pharaoh,ec94,Faraó
,Pharisee,e383,Fariseu
,Philadelphia,ebf8,Filadélfia
,Philemon,ecf2,Filemom
,Philetus,ecac,Fileto
,Philip,e361,Filipe
,Philippi,e347,Filipos
,Philologus,ebcf,Filólogo
,philosopher,ec04,filósofo
,Phlegon,ebd1,Flegonte
,Phoebe,ebd2,Febe
,Phoenicia,e343,Fenícia
,Phoenix,ec29,Fenice
,Phrygia,eb76,Frígia
,Phygelus,ecb9,Fígelo
,pig,e30a,porco
,pigeon,e0b6,pomba
,Pilate,e36f,Pilatos
,pillar,eca8,pilar
,Pisidia,eb97,Písida
,plan,e06b,plano
,plant,e244,plantar
,plate,e386,prato
,plow,ec72,arado
,Pontus,eb75,Ponto
,poor,ea3a,pobre
,porch,eb5e,pórtico
,Porcius,ec38,Pórcio
,possible,e098,possível
,pour,e0d6,derramar
,pray,e05e,orar
,preach,e04d,pregar
,preacher,e134,pregador
,precious,ea37,precioso
,pregnant,e0a5,grávido
,prepare,e091,preparar
,press,e228,pressão
,pretend,e094,fingir
,prevail,eb14,prevalecer
,priest,e03b,sacerdote
,prince,eb61,principe
,Priscilla,eb18,Priscila
,prison,e172,cárcere
,prisoner,e145,preso
,Prochorus,eb53,Prócoro
,profit,e035,lucro
,promise,e37a,pormessa
,prophesy,e23b,profetizar
,prophet,e135,profeta
,proverb,ec73,provérbio
,Psalm,e0e2,salmo
,Ptolemais,ec08,Ptolemaida
,Publius,ec1a,Públio
,Pudens,ecba,Prudente
,purple,e286,púpura
,put,e07e,pôr
,Puteoli,ec1e,Putéoli
,Pyrrhus,eb1c,Pirro
,Quartus,ebd3,Quarto
,queen,eb15,rainha
,quiet,e185,quieto
,Quirinius,ec3b,Quirino
,Rachel,ea41,Raquel
,Rahab,ea55,Raabe
,rain,ea3e,chuva
,rainbow,ecdc,arco_Iris
,Ram,ea50,Rão
,Ramah,ea42,Ramá
,Rebekah,ebd4,Rebeca
,rebuke,e060,repreender
,reconcile,e026,conciliar
,red,e287,vermelho
,redeem,e02c,redimir
,reed,ea26,junco
,Rehoboam,ea5a,Roboão
,religion,ec33,religião
,remain,e83b,permanecer
,remember,e0d8,lembrar
,repent,e320,Arrepender-se
,rescue,e214,resgatar
,result,e237,resultado
,resurrect,e329,ressucitar
,Reu,ec74,Reú
,Reuben,ecc0,Rúben
,reward,e02d,recompensa
,Rhegium,ec1d,Régio
,Rhesa,ec75,Resa
,Rhoda,eb92,Rode
,Rhodes,eb25,Rodes
,right,e0f3,reto
,right_time,ed10,tempo_certo
,righteous,e090,justo
